generation,animalid,accessid,rfid,earpunch,dam,sire,dob,dow,dorfid,sex,coatcolor,plate_id,well_position,dosacking,number_sacked,weanednumber,littersize,breederpair,rack_number,rack_position,comments
100,G100_B01_01,111000101,933000320978158,LT,G99_B01_07,G99_B32_02,11/10/2023 9:12:59,12/1/2023 9:56:18,12/1/2023 11:19:24,M,blackhood,01,E09,,,3,3,01,6,E4,"no Fs,nan"
100,G100_B01_02,111000102,933000320978137,LM,G99_B01_07,G99_B32_02,11/10/2023 9:12:59,12/1/2023 9:56:18,12/1/2023 11:19:24,M,blackhood,01,F09,,,3,3,01,6,E4,"no Fs,nan"
100,G100_B01_03,111000103,933000320978125,LB,G99_B01_07,G99_B32_02,11/10/2023 9:12:59,12/1/2023 9:56:18,12/1/2023 11:19:24,M,blackhood,01,G09,,,3,3,01,6,E4,"no Fs,nan"
100,G100_B02_01,111000201,933000320978266,LT,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:13,12/7/2023 11:02:56,M,brownhood,05,A01,,,10,10,02,4,D7,"nan,nan"
100,G100_B02_02,111000202,933000320978267,LM,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:13,12/7/2023 11:02:56,M,brown,05,B01,,,10,10,02,4,D7,"nan,nan"
100,G100_B02_03,111000203,933000320978272,LB,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:13,12/7/2023 11:02:56,M,brown,05,C01,,,10,10,02,4,D7,"nan,nan"
100,G100_B02_04,111000204,933000320978273,LC,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:13,12/7/2023 11:02:56,M,black,05,D01,,,10,10,02,4,D7,"nan,nan"
100,G100_B02_05,111000205,933000320978271,LTRT,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:13,12/7/2023 11:05:55,M,black,05,E01,,,10,10,02,3,D3,"nan,nan"
100,G100_B02_09,111000209,933000320978270,RT,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:40,12/7/2023 11:09:56,F,brownhood,05,F01,,,10,10,02,4,E7,"nan,nan"
100,G100_B02_10,111000210,933000320978265,RM,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:40,12/7/2023 11:09:56,F,brownhood,05,G01,,,10,10,02,4,E7,"nan,nan"
100,G100_B02_11,111000211,933000320978255,RB,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:40,12/7/2023 11:09:56,F,blackhood,05,H01,,,10,10,02,4,E7,"nan,nan"
100,G100_B02_12,111000212,933000320978254,RC,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:40,12/7/2023 11:09:56,F,blackhood,05,A02,,,10,10,02,4,E7,"nan,nan"
100,G100_B02_13,111000213,933000320978264,LMRM,G99_B02_05,G99_B26_04,11/14/2023 9:35:24,12/7/2023 9:57:40,12/7/2023 11:13:23,F,brown,05,B02,,,10,10,02,3,E3,"nan,nan"
100,G100_B03_01,111000301,933000320978327,LT,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:34:45,12/4/2023 10:44:46,M,brownhood,02,A08,,,9,9,03,5,A5,"nan,nan"
100,G100_B03_02,111000302,933000320980731,LM,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:34:45,12/4/2023 10:44:46,M,brownhood,02,B08,,,9,9,03,5,A5,"nan,nan"
100,G100_B03_03,111000303,933000320978328,LB,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:34:45,12/4/2023 10:44:46,M,brownhood,02,C08,,,9,9,03,5,A5,"nan,nan"
100,G100_B03_09,111000309,933000320978348,RT,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:35:20,12/4/2023 10:49:54,F,brownhood,02,D08,,,9,9,03,5,B2,"nan,nan"
100,G100_B03_10,111000310,933000320946596,RM,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:35:20,12/4/2023 10:49:54,F,brownhood,02,E08,,,9,9,03,5,B2,"nan,nan"
100,G100_B03_11,111000311,933000320980733,RB,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:35:20,12/4/2023 10:49:54,F,brownhood,02,F08,,,9,9,03,5,B2,"nan,nan"
100,G100_B03_12,111000312,933000320980727,RC,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:35:20,12/4/2023 10:49:54,F,brownhood,02,G08,,,9,9,03,5,B2,"nan,nan"
100,G100_B03_13,111000313,933000320978346,LMRM,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:35:20,12/4/2023 10:53:01,F,brownhood,02,H08,,,9,9,03,5,B5,"nan,nan"
100,G100_B03_14,111000314,933000320978329,LBRB,G99_B02_07,G99_B24_02,11/13/2023 9:21:08,12/4/2023 9:35:20,12/4/2023 10:53:01,F,blackhood,02,A09,,,9,9,03,5,B5,"nan,nan"
100,G100_B04_01,111000401,933000320978204,LT,G99_B03_06,G99_B19_01,11/8/2023 11:11:53,11/29/2023 11:26:21,11/29/2023 12:20:44,M,brown,01,A01,,,8,8,04,6,A1,"only M from litter,nan"
100,G100_B04_09,111000409,933000320978206,RT,G99_B03_06,G99_B19_01,11/8/2023 11:11:53,11/29/2023 11:33:00,11/29/2023 12:26:26,F,albino,01,B01,,,8,8,04,6,B1,"nan,nan"
100,G100_B04_10,111000410,933000320978211,RM,G99_B03_06,G99_B19_01,11/8/2023 11:11:53,11/29/2023 11:33:00,11/29/2023 12:26:26,F,brownhood,01,C01,,,8,8,04,6,B1,"nan,nan"
100,G100_B04_11,111000411,933000320978212,RB,G99_B03_06,G99_B19_01,11/8/2023 11:11:53,11/29/2023 11:33:00,11/29/2023 12:26:26,F,brownhood,01,D01,,,8,8,04,6,B1,"nan,nan"
100,G100_B04_12,111000412,933000320978215,RC,G99_B03_06,G99_B19_01,11/8/2023 11:11:53,11/29/2023 11:33:00,11/29/2023 12:26:26,F,blackhood,01,E01,,,8,8,04,6,B1,"nan,nan"
